Square_Footage,Bedrooms,Bathrooms,House_Price
1891,3,2,317216
4181,2,1,533167
4057,4,3,583438
2236,1,2,315134
4296,4,4,610735
3599,5,2,556462
3752,6,2,540034
1298,1,2,216571
2760,5,2,429409
4697,2,3,616064
1454,1,4,254557
4074,5,3,611126
2307,2,4,373350
3377,4,2,492636
2333,6,1,356330
4110,2,3,532728
802,3,1,149516
3855,2,3,542700
4818,2,2,642493
1366,6,3,262099
4989,3,2,682461
2927,5,3,481507
3531,5,2,505563
797,2,2,139592
2530,3,4,412398
4182,3,2,570000
1208,6,4,289858
3872,4,2,565579
1747,5,1,294156
4882,6,2,722366
3997,1,1,485089
3111,5,1,478610
2394,6,2,388405
1259,5,1,213498
3411,4,4,502066
1969,1,3,253734
2586,4,2,419130
746,1,1,137346
3819,2,2,496041
3511,6,4,536543
2334,1,2,291781
2443,4,2,345757
1088,5,1,185701
3576,1,4,456779
2559,6,3,418060
2985,1,3,382231
3519,3,1,462317
2402,5,2,399978
4661,6,1,667749
3969,6,1,552422
862,2,1,125549
1223,4,2,218770
1616,2,4,242707
4243,6,1,622024
2649,5,2,391352
4323,1,4,593335
3708,1,1,463343
4690,5,3,642049
2656,6,4,466437
3770,1,1,481918
2282,1,4,352749
2855,1,4,385951
1754,4,4,284568
3791,4,4,578250
2296,3,4,387461
4591,2,4,606202
2248,5,1,344090
2045,5,3,362809
4799,5,2,662658
4523,3,4,622024
853,4,2,212035
3783,6,1,529035
3157,6,4,489252
698,3,3,177214
2800,6,2,444365
3561,5,4,519550
4377,2,1,583440
3469,1,3,442282
3834,4,2,524027
4391,4,2,590606
1556,3,4,271024
4667,4,3,670723
760,5,3,179274
1900,6,3,370142
4587,5,3,681747
2127,3,1,284733
1818,5,3,351647
3704,6,2,574565
3335,2,2,454428
1554,3,1,225620
4046,2,2,557395
1645,1,2,234055
2293,2,3,348632
4036,1,2,538757
1162,1,1,183856
3085,2,3,459911
3954,3,4,536296
825,6,3,200639
1559,5,1,289272
3667,5,3,561773
1415,6,3,289292
3720,1,1,492314
616,1,3,100160
1843,3,1,278858
2805,4,1,403557
3124,2,4,474493
1669,1,2,238088
4044,5,2,556107
3165,3,3,457562
1660,2,3,237459
2927,3,4,456379
4020,2,4,537249
901,2,4,164352
4876,6,1,695692
1206,1,4,193893
3770,3,4,562269
1299,3,3,253230
1739,6,4,314054
790,5,1,170974
2900,5,1,426567
1580,1,3,239892
3575,1,4,463277
1784,4,4,315680
3927,6,1,592871
3994,5,4,574165
727,2,4,186899
2665,3,4,429106
2416,1,2,295698
1169,3,3,214445
2495,3,2,393329
3333,4,3,461452
4463,5,1,621022
4614,1,4,628492
3501,3,3,515620
2286,1,2,292935
3609,2,4,531723
754,4,1,175380
3137,2,3,449386
2009,1,3,263931
4657,1,3,590128
1384,5,4,258236
3775,3,2,490044
4941,3,2,635288
3406,2,3,458620
1137,4,1,207040
2441,6,1,409323
3055,3,2,427234
1124,5,1,199048
3550,2,2,466961
4731,2,3,647599
4715,6,2,705671
2968,5,2,465256
4447,4,3,639727
3301,5,1,474972
1571,4,2,271630
1766,5,2,309094
3374,5,3,514095
2582,1,1,331795
1453,2,2,200941
4746,5,3,689139
4336,6,2,606637
4369,5,4,658958
1174,3,3,228736
3861,2,1,519034
1748,3,1,261409
2315,2,1,310932
4454,3,1,576269
3091,5,2,450487
3260,5,2,471068
3724,1,1,466250
3651,6,1,550653
604,3,1,127963
1476,4,2,280012
1591,1,1,198386
4742,3,1,622843
4964,3,4,668910
1235,1,4,191062
2293,5,1,373515
2282,3,3,350099
719,5,1,174819
1430,1,4,218509
4275,5,3,618795
1969,2,3,315348
1340,4,1,209570
716,3,4,152013
3438,6,4,559131
1750,4,3,270193
2531,5,1,393495
1612,3,2,246009
2264,5,2,388226
1681,2,4,252910
1112,1,2,181192
3449,3,4,501207
1159,2,4,221150
4272,2,4,573029
3943,3,2,548357
4670,5,4,647661
2070,6,3,391288
1180,2,1,179969
2894,4,1,413792
3747,2,4,496356
4849,6,1,673139
2279,5,2,367413
4106,5,2,599409
3344,4,1,445658
3956,2,2,535303
4645,5,1,658946
1843,6,1,310995
3718,3,1,500193
2741,1,4,377920
3659,1,1,479576
3559,1,4,462412
2865,2,1,396404
3079,4,1,412280
2235,5,1,352738
2357,3,2,347959
2670,6,4,428733
3449,3,4,474290
3851,6,1,549959
4330,2,1,585644
3089,1,2,406199
2231,2,2,293528
3416,4,2,466716
1615,4,4,284980
1948,6,4,388005
3687,5,4,570496
3439,5,1,485389
935,6,4,266328
1495,4,3,297957
4146,4,3,575063
1451,4,2,261538
2287,2,4,343515
2531,4,3,401475
4346,3,2,604488
3027,1,4,425705
2168,4,1,330662
4600,6,3,658724
3338,1,1,399388
4098,2,4,582880
4513,6,3,648647
1666,1,4,237525
4980,6,1,698937
3044,2,3,400762
4707,3,1,616845
3973,2,4,539520
4569,2,4,639232
3146,6,1,452983
1353,5,3,283988
2682,4,1,366752
3374,4,4,479528
3496,3,1,478143
4785,3,4,688356
1375,4,1,240634
2225,5,3,386602
3669,4,3,549342
1017,5,1,226374
714,3,1,113792
1216,1,3,182974
4574,6,4,653372
3867,3,3,531247
1425,3,4,241114
2116,2,1,298205
3746,2,1,475538
1012,2,4,182826
1328,6,1,247100
3948,2,4,573278
3408,5,2,526741
1275,4,3,265780
4065,1,2,536999
3104,3,4,435690
3567,5,3,547403
3386,1,4,476959
1722,5,3,294383
4679,5,3,691764
2171,3,3,347612
2743,4,3,433459
2287,2,4,321028
4732,6,3,661151
4451,4,3,616552
4040,6,2,620198
4366,3,1,582675
2926,3,1,379441
3514,3,2,472492
4552,1,2,588623
1195,6,4,291680
1328,4,4,242506
1965,4,4,363317
1298,5,2,234414
995,5,2,237293
4771,5,3,683340
4960,3,4,705926
3102,4,4,442966
2419,6,4,394040
1317,3,1,205230
3382,1,3,422715
4177,5,4,609617
743,3,4,190897
3740,3,4,507833
3538,1,1,457771
4236,2,1,535693
3822,4,2,512384
1767,6,3,327035
3216,2,2,422897
1662,5,3,306842
2756,3,1,390262
3582,1,4,465491
3894,1,2,505983
1756,4,4,294115
1332,2,2,209648
4930,4,1,668176
1553,3,1,228075
3139,4,1,461089
3924,6,2,575186
3901,1,3,502206
2142,1,2,276416
1791,5,3,295809
3593,5,2,533982
3281,3,2,465356
1817,6,1,308624
2140,2,4,346153
3836,4,4,581969
2986,3,3,437930
4319,5,4,613338
1988,4,2,347900
2456,5,2,368821
1965,4,1,288297
1099,2,1,146538
2280,3,4,339981
1110,4,3,233512
4912,6,4,729926
1924,1,4,302499
1755,6,4,327754
2427,6,4,410779
3741,1,2,513765
4086,6,3,592097
2410,4,2,373596
3523,4,3,513133
2814,4,1,410834
4786,1,4,605351
1313,6,2,265557
4202,1,3,525679
4734,4,1,630865
4122,6,1,578032
4868,6,4,737320
1843,5,3,324829
4309,5,2,611019
1681,2,4,293338
1055,3,2,163882
1494,5,1,268904
1984,1,2,291518
2558,5,2,396324
3672,2,4,482638
2596,6,2,423225
4885,2,4,664444
1104,6,1,211908
1814,6,4,355117
2131,3,4,323056
4040,5,3,569142
1423,1,2,229230
1528,1,1,218192
733,4,4,165406
2705,6,1,445183
4227,1,3,560632
2452,3,2,336701
4775,6,4,707587
3533,3,2,469476
3884,1,3,494829
4898,1,3,620274
3411,4,1,505035
1850,1,4,282426
4112,6,1,599708
1856,6,3,337670
3976,6,2,592008
4086,4,1,567108
4184,4,1,552293
1996,1,2,280547
4237,2,1,546451
3930,2,2,534449
3303,4,4,500951
1070,1,2,151258
1953,2,4,292986
3383,1,2,424427
3431,1,3,479115
957,1,3,169598
3619,5,4,573592
1267,6,4,255174
1745,1,3,275622
4785,5,4,675943
4319,4,2,583714
3345,2,2,469175
1139,6,3,236913
3379,2,1,464626
4736,6,2,649461
4375,2,4,583019
3108,6,1,463344
3379,2,1,458383
1524,2,2,248614
3556,2,2,482849
2181,2,1,294687
3924,4,1,551483
855,1,3,128772
2438,3,4,363950
2544,5,3,383547
609,3,2,147412
3471,3,3,487687
1397,6,3,278952
1615,1,3,236640
2424,6,3,399870
3736,1,4,517499
2793,1,4,366066
823,2,1,157556
4758,4,2,673385
4525,2,3,613379
4600,4,1,609297
2233,6,1,339971
2752,4,1,420834
1110,6,4,287898
984,3,3,207094
1004,3,3,212038
2600,4,2,373738
3356,4,3,491517
2268,6,3,409658
2060,2,1,268320
4236,6,2,639301
3324,2,3,437647
4778,3,4,651212
2648,1,3,346463
4746,4,1,610449
1316,2,4,209871
2423,6,1,413611
2681,3,3,392759
4019,2,4,570893
2174,6,2,370384
849,4,2,169318
1273,4,4,271275
2765,5,4,422544
1370,1,1,177684
4562,5,4,674857
4963,3,1,660308
2584,2,3,347149
1677,3,1,268599
835,6,4,219999
988,4,4,221770
3637,5,3,539666
2448,5,4,434130
3414,5,4,499332
3974,3,2,536203
3878,4,2,572345
1852,2,3,294378
4581,6,1,627317
2722,2,2,393733
2750,3,1,392226
1929,6,4,338071
1958,5,2,349074
3082,1,3,410673
2617,3,3,370866
1931,3,3,303137
4944,4,2,661973
4861,2,1,607458
1958,3,4,345380
3777,3,1,528302
2728,5,1,435852
2780,5,4,471761
737,6,4,244220
4072,1,2,495809
3432,4,2,480396
4179,1,2,528532
3631,6,2,522033
4764,5,2,644995
3193,2,4,431196
4900,5,1,674778
4418,4,2,607894
4738,5,2,656733
4423,4,1,601163
4642,4,2,607825
2506,4,1,346859
1360,6,1,239544
4045,4,4,574200
1499,4,3,265252
3547,2,4,486178
2319,1,3,308253
880,3,3,156219
3866,1,3,513624
2487,4,2,407940
3866,2,4,540495
1266,5,3,266839
4788,2,1,626821
1271,4,2,247643
2569,2,4,375996
4756,2,3,603956
3722,4,1,502488
4500,6,4,642352
1123,2,4,176692
2993,3,2,405073
3717,3,4,509596
3193,2,2,424460
2568,6,3,403658
2353,5,2,357942
2896,4,1,437618
2861,3,2,424953
2886,5,1,410889
4802,2,2,646831
3478,5,4,559242
4743,1,3,589017
4244,3,1,534620
2655,2,2,382549
1876,4,2,291886
3366,6,2,510052
902,2,4,156731
1238,4,4,218698
655,6,1,148958
1125,6,1,259083
4723,2,4,616474
2725,5,1,401840
3887,5,3,575835
964,6,3,236334
2246,5,4,380399
1518,1,1,193156
3397,6,2,543418
2131,6,3,383492
3945,4,4,601878
2506,5,1,382482
3686,6,4,555603
2675,1,2,365420
1313,4,3,273128
1662,2,4,258994
2576,6,4,429339
1896,1,4,309689
725,3,2,156919
4196,1,4,537949
3883,1,2,517800
2203,4,2,359055
666,2,2,139593
832,3,3,164058
2756,5,3,418172
1769,5,4,355622
2758,1,4,404940
4806,4,3,655671
2093,4,1,292467
4607,5,3,642692
3072,3,2,428872
3260,2,3,456628
3339,3,2,478851
2361,6,4,409805
4114,6,1,616562
2575,2,4,359238
2962,5,2,459415
1476,2,2,249434
4412,4,2,580580
4048,6,1,580602
1912,1,3,270861
2060,1,4,273908
3309,5,4,485710
2924,4,3,430475
2333,3,4,345445
2205,4,1,332908
3163,1,4,449349
4021,1,2,543210
4117,6,3,610126
2997,4,1,416499
4335,4,3,587884
3470,1,1,436952
1760,3,2,247407
842,5,3,222139
3190,5,4,469760
1663,4,1,240117
4924,5,3,695569
3195,1,4,457051
1519,1,3,211173
605,4,3,164872
1067,4,3,188922
4770,6,1,701938
603,4,4,179889
1245,3,2,223035
717,5,1,197155
3528,4,1,492895
3151,2,1,400989
4889,6,2,673846
1446,2,4,226502
3362,1,4,469137
1741,5,4,332035
2410,4,3,356469
1323,2,3,247714
824,5,3,201944
4808,1,2,639237
2648,3,3,376287
2173,6,2,343214
2428,5,4,397238
2517,5,3,428138
4834,3,3,638071
2626,5,1,372928
4344,1,2,565690
1501,1,4,241713
2639,3,1,377984
609,6,1,173466
860,4,4,228420
2273,2,1,330837
2819,4,2,392082
2660,5,2,412953
4313,2,3,568643
2219,3,1,309634
920,3,3,177590
1942,6,1,309182
2976,2,2,405518
3432,1,2,468811
3424,2,2,472742
2594,5,1,399412
3558,1,2,485370
2638,3,1,361063
4090,2,3,580702
4277,4,1,601696
1718,6,3,330791
2204,4,1,320979
4627,6,3,685092
835,5,2,173216
2569,4,3,370664
2508,2,2,336032
975,2,2,173703
4130,4,3,601495
3235,2,1,412682
2170,5,1,355910
3160,1,4,453133
3991,5,1,555746
3565,6,4,530290
4243,5,1,620292
4450,6,1,650092
1472,2,2,222158
1852,1,4,271285
1914,2,1,290556
3498,3,4,501670
677,2,2,125806
3221,6,2,518439
4827,2,4,653145
1200,2,2,191103
1665,1,3,268069
2736,2,3,394508
3049,1,2,376725
2943,4,3,434322
2463,3,1,357234
1918,1,4,307949
4197,6,1,592977
4362,4,4,615753
2790,1,2,366743
1592,1,1,198453
3312,3,2,432716
2792,6,2,466191
1848,5,4,324371
3654,5,4,562585
4633,1,4,592904
2597,2,1,374527
4287,6,3,620346
2751,4,4,449967
4618,2,4,652813
3710,2,1,475736
2570,6,4,465453
797,1,1,147262
3226,1,2,419930
1802,1,4,253546
2635,1,4,397889
1077,5,2,204743
1854,1,2,246705
1522,5,2,284616
1019,5,4,218870
2804,1,3,409365
3197,3,3,439526
1720,4,3,279266
3668,2,4,481248
1550,5,2,254363
2936,6,4,485112
2843,6,2,430924
3245,4,4,514696
2457,6,4,449660
2465,3,2,351420
3512,6,3,554167
3453,2,2,447295
3828,2,1,477428
4319,5,1,624667
3828,1,2,471655
2971,3,4,452680
3491,5,1,485310
4356,3,1,588936
4825,1,4,624131
694,6,4,212498
3274,6,3,493313
2555,1,4,346638
1393,5,2,284487
2434,1,2,325262
2716,4,3,397448
4706,2,1,596001
3925,5,1,580189
3519,3,4,525791
3197,4,2,490219
3805,5,1,520205
1414,1,3,219462
945,1,3,129781
2949,1,2,359978
962,1,3,150250
3043,3,3,462967
2865,4,2,418122
2788,6,4,476429
3605,2,4,505555
3881,3,3,555436
1584,3,4,255287
2239,6,4,390473
1427,6,3,263332
3330,2,4,467820
4131,2,3,544234
3535,6,1,532210
4476,1,2,550669
726,3,2,144151
3777,5,4,543425
3656,2,4,493991
1203,2,4,190136
4049,6,2,625646
4746,4,1,621969
4133,5,1,575257
3967,5,2,597739
3968,2,1,526751
4397,1,2,548357
2392,4,1,367163
3461,5,3,529553
4076,2,3,564625
4017,5,2,597689
2245,4,1,355492
1805,4,4,296950
3630,3,1,491222
3472,6,3,541963
3672,6,3,585201
2454,2,1,364166
4621,4,1,597471
3308,3,4,469582
4102,3,4,605557
1932,5,1,291567
801,5,1,204237
4107,3,1,556294
4812,5,1,690834
1174,4,2,227349
1136,1,1,166868
2225,4,4,360782
2722,3,3,422380
985,3,2,181654
3881,4,1,508088
1074,5,3,219472
1017,5,2,209213
4200,6,3,627204
1554,3,1,247076
1805,2,1,260924
4720,6,4,723122
2590,5,1,411932
4172,4,1,564504
4980,5,2,721248
4758,4,4,688789
3313,6,2,508310
2803,3,3,391936
3720,5,1,517966
1566,4,3,255110
4032,3,2,541911
1288,2,1,202893
4843,4,1,677553
4301,6,2,611489
941,2,2,156955
2324,2,2,353607
2392,1,2,293629
2359,5,2,407011
3812,4,1,522675
1589,2,2,210839
2862,1,1,350585
3082,6,1,455213
1551,3,2,253041
1322,4,2,247963
3989,2,4,534917
2679,5,1,418451
3317,1,2,411284
2932,2,2,386583
3976,5,2,573686
2100,2,4,338101
885,4,4,222309
4095,4,3,607398
2665,4,1,378491
1368,6,3,288156
3657,6,2,575218
4889,1,4,617270
2761,4,4,457391
3893,5,3,547745
1546,2,4,234747
3935,3,2,535478
4750,5,4,693814
2081,6,3,351957
2501,6,2,395769
4051,5,3,598833
4664,6,4,667607
654,4,3,183889
2423,1,3,354526
4062,2,1,543594
3679,1,4,473496
1432,2,4,225867
3406,2,3,487408
3090,1,1,389942
927,5,4,242760
3910,2,2,543438
3900,1,3,541608
4275,2,4,576545
3654,3,2,524516
2743,5,4,446057
1911,4,2,330281
3791,2,3,488087
3138,3,4,476317
4583,4,4,646877
764,4,1,154416
4877,2,3,643230
1422,1,2,233801
1543,2,4,239247
1374,3,4,242320
2798,4,2,420965
3756,2,3,536340
4842,1,1,591315
4295,2,1,583632
4052,5,4,626343
1514,1,2,191956
1908,3,4,325587
4777,4,2,663826
1113,2,1,181056
2520,1,3,336408
4194,5,2,574018
2009,1,1,268482
3790,6,4,608184
2155,5,2,329393
1404,3,3,250771
1879,4,4,301051
4177,3,4,587571
3501,2,1,446329
1987,1,2,291454
3361,6,4,528714
3279,5,3,511628
2706,5,2,415402
4823,1,3,595984
3368,6,4,545317
4553,1,3,610055
3786,2,1,519563
3880,3,3,555052
3173,5,2,489168
3199,2,3,446321
4633,3,3,642390
836,2,1,149449
1904,6,3,353196
4030,5,3,603459
1901,1,4,279706
3141,1,4,446680
2651,3,2,376598
1041,4,4,201238
2676,6,4,449814
3780,3,4,528780
3257,4,4,473020
4398,2,1,570762
1404,6,4,283852
674,2,1,120676
2775,5,1,446272
4524,6,4,695639
2689,4,3,407107
640,5,1,165090
2681,1,3,391776
2222,4,3,354739
941,3,4,213406
4652,1,2,617280
